time,C_20191017_001_p1a,C_20191017_001_p1b,C_20191017_002_p1a,C_20191017_002_p1b,C_20191017_004_p1a,C_20191017_004_p1b,C_20191017_004_p2a,C_20191017_004_p2b,C_20191017_004_p3a,C_20191017_004_p3b,C_20191017_004_p4a,C_20191017_004_p4b,C_20191017_005_p1a,C_20191017_005_p1b,C_20191017_005_p2a,C_20191017_005_p2b,C_20191017_005_p3a,C_20191017_005_p3b,C_20191017_005_p4a,C_20191017_005_p4b,C_20191017_005_p5a,C_20191017_005_p5b,C_20191018_002_p1a,C_20191018_002_p1b,C_20191018_002_p2a,C_20191018_002_p2b,C_20191018_003_p1a,C_20191018_003_p1b,C_20191018_003_p2a,C_20191018_003_p2b,C_20191018_006_p1a,C_20191018_006_p1b,C_20191018_009_p1a,C_20191018_009_p1b,C_20191018_009_p2a,C_20191018_009_p2b,C_20191018_011_p1a,C_20191018_011_p1b,C_20191018_013_p1a,C_20191018_013_p1b,C_20191018_015_p1a,C_20191018_015_p1b,C_20191031_004_p1a,C_20191031_004_p1b,C_20191031_004_p2a,C_20191031_004_p2b,C_20191031_008_p1a,C_20191031_008_p1b,C_20191031_009_p1a,C_20191031_009_p1b,C_20191031_011_p1a,C_20191031_011_p1b,C_20191031_012_p1a,C_20191031_012_p1b,C_20191031_012_p2a,C_20191031_012_p2b,C_20191031_013_p1a,C_20191031_013_p1b,C_20191031_013_p2a,C_20191031_013_p2b,C_20191031_013_p3a,C_20191031_013_p3b,C_20191031_017_p1a,C_20191031_017_p1b,C_20191031_017_p2a,C_20191031_017_p2b,C_20191031_017_p3a,C_20191031_017_p3b,S_20191010_002_P1a,S_20191010_002_P1b,S_20191010_002_P3a,S_20191010_002_P3b,S_20191010_005_p2a,S_20191010_005_p2b,S_20191010_005_p3a,S_20191010_005_p3b,S_20191010_005_p4a,S_20191010_005_p4b,S_20191010_006_p1a,S_20191010_006_p1b,S_20191010_006_p2a,S_20191010_006_p2b,S_20191010_006_p3a,S_20191010_006_p3b,S_20191010_009_p1a,S_20191010_009_p1b,S_20191010_009_p2a,S_20191010_009_p2b,S_20191010_012_p1a,S_20191010_012_p1b,S_20191010_012_p2a,S_20191010_012_p2b,S_20191010_013_p1a,S_20191010_013_p1b,S_20191010_013_p2a,S_20191010_013_p2b,S_20191010_013_p3a,S_20191010_013_p3b,S_20191010_013_p4a,S_20191010_013_p4b,S_20191010_013_p6a,S_20191010_013_p6b,S_20191011_003_p2a,S_20191011_003_p2b,S_20191011_004_p1a,S_20191011_004_p1b,S_20191011_004_p2a,S_20191011_004_p2b,S_20191011_004_p3a,S_20191011_004_p3b,S_20191011_004_p5a,S_20191011_004_p5b,S_20191011_004_p6a,S_20191011_004_p6b,S_20191011_006_p1a,S_20191011_006_p1b,S_20191011_006_p2a,S_20191011_006_p2b,S_20191011_006_p3a,S_20191011_006_p3b,S_20191011_006_p4a,S_20191011_006_p4b,S_20191011_006_p5a,S_20191011_006_p5b,S_20191107_002_p1a,S_20191107_002_p1b,S_20191107_002_p2a,S_20191107_002_p2b,S_20191107_002_p3a,S_20191107_002_p3b,S_20191107_003_p1a,S_20191107_003_p1b,S_20191107_003_p2a,S_20191107_003_p2b,S_20191107_003_p3a,S_20191107_003_p3b,S_20191107_003_p4a,S_20191107_003_p4b,S_20191107_005_p1a,S_20191107_005_p1b,S_20191107_005_p2a,S_20191107_005_p2b,S_20191107_007_p1a,S_20191107_007_p1b,S_20191107_007_p2a,S_20191107_007_p2b,S_20191107_007_p3a,S_20191107_007_p3b,S_20191107_008_p1a,S_20191107_008_p1b,S_20191107_009_p1a,S_20191107_009_p1b,S_20191107_009_p2a,S_20191107_009_p2b,S_20191107_009_p3a,S_20191107_009_p3b,S_20191107_009_p4a,S_20191107_009_p4b,S_20191107_010_p1a,S_20191107_010_p1b,S_20191107_010_p2a,S_20191107_010_p2b,S_20191107_010_p3a,S_20191107_010_p3b,S_20191107_011_p1a,S_20191107_011_p1b,S_20191107_011_p2a,S_20191107_011_p2b,S_20191107_012_p1a,S_20191107_012_p1b,S_20191107_012_p2a,S_20191107_012_p2b,S_20191107_012_p3a,S_20191107_012_p3b,S_20191107_014_p1a,S_20191107_014_p1b,S_20191107_014_p2a,S_20191107_014_p2b,S_20191107_015_p1a,S_20191107_015_p1b,S_20191107_015_p2a,S_20191107_015_p2b
0,7.65080401,6.692013897,8.392060653,7.452909298,8.753121158,9.553359252,8.015913298,8.744098181,7.944871302,9.266895057,7.043776544,7.63960732,5.520595077,6.817021197,6.295695117,5.293979316,6.904207775,7.626252684,3.894093091,4.75002621,5.879671504,6.886313528,9.325933573,10.2450308,8.417454069,9.037108,5.113114511,5.964137658,5.766427837,6.914708164,7.925205991,6.996847433,7.535796507,8.711263973,4.901594128,5.894462232,2.725415565,3.481962952,10.4509656,9.353916078,5.473264839,4.591322794,7.863129784,7.256135197,7.140220515,5.952187581,7.359805432,5.518287415,8.064859081,7.581394067,8.116039736,7.393165763,6.539659089,5.807709445,8.411322191,7.815320851,6.696038605,5.949605029,9.699488646,9.000013611,8.094491522,7.191852195,6.629693507,5.277486144,8.957998549,7.325769379,7.27639746,6.071891386,8.023027359,8.846280857,6.307994293,7.202941899,9.425038355,8.033180503,8.704617683,7.945461912,8.799793179,7.637534288,6.620630559,8.383077299,6.428006301,7.928171857,7.398530935,8.684912723,6.640301951,7.802381495,6.158556081,7.417049548,7.386287633,6.682704916,8.107177129,7.371351301,6.324248256,7.612883028,4.550310869,5.791529159,5.546600851,6.910604098,6.596115599,7.488531231,4.553529181,5.381773778,7.80571105,9.08594563,5.495962154,6.377121921,3.384299337,4.415310182,6.811655452,6.213665987,4.235192794,5.391379879,7.148643857,6.226793155,6.967390688,8.221517926,6.982236318,8.258768189,6.505439109,7.611996453,6.507756372,7.826629223,6.348548574,7.329466693,6.232909834,7.480409748,6.459602465,7.548271325,4.945398366,5.870476386,5.405016374,6.63410318,6.722464132,7.694100662,6.256747158,5.054333289,6.55423962,7.858072155,7.861319546,6.851270831,6.181463985,7.579647089,7.620331358,8.586066503,8.128176302,6.724518496,7.650055425,9.390936748,9.088459165,7.387862546,7.738847524,9.172497424,7.12408345,6.172444005,7.475625258,6.120910145,9.796400615,7.815952021,5.36401827,6.816396262,6.277030269,7.934410186,6.714677207,8.655673804,7.482823331,9.035375034,6.345507781,8.163098003,6.198142464,7.46004189,5.680089876,6.915576187,8.853912412,7.772596992,5.512557029,5.614103668,6.892211546,7.7695422,8.475950979,7.152661742,8.721556283,6.553510281
3,7.697865483,6.902608275,8.393107887,7.468202059,8.855267641,9.576962358,8.113485687,8.850592071,7.948095936,9.360680798,7.133363372,7.696825644,5.54047516,6.858721747,6.297566038,5.257340107,6.870647713,7.688622829,3.914366615,4.874296052,6.025663283,7.028737155,9.309422377,10.34919693,8.247418626,8.966642292,5.255063082,6.087260139,5.957542111,6.94661961,7.774624171,6.800532994,7.685764503,8.710670755,4.963941176,5.861296955,2.853971443,3.640977891,10.43831117,9.307909593,5.521630194,4.654292857,7.827387815,7.161153887,7.01857457,5.830956354,7.319621643,5.669627325,7.881462935,7.416529107,8.221784782,7.460314739,6.492484886,5.754964552,8.394772481,7.776067708,6.875342101,6.098836118,9.621102068,8.864981105,8.289440029,7.414069058,6.804085831,5.411410629,9.013361193,7.377371144,7.14244902,5.898931598,8.013132034,8.826327549,6.089258904,7.12119379,9.318297108,8.10249548,8.718835931,7.94775245,8.75031908,7.651440779,6.684007481,8.414057107,6.390602867,7.941164902,7.472725473,8.675917588,6.764006875,7.820044821,6.179971683,7.384803857,7.514172476,6.845237542,7.788423781,7.269921114,6.451836328,7.720976946,4.530467746,5.765232432,5.67386861,6.932683175,6.635198038,7.58137725,4.580795127,5.589798744,7.8467773,9.078577972,5.394960333,6.315652302,3.49482775,4.569005362,6.913611068,6.279691871,4.18397347,5.321157957,7.122018885,6.165484734,7.116441878,8.279319054,6.99031387,8.272060989,6.463380617,7.559642981,6.540602189,7.777319911,6.283697399,7.322647745,6.287672542,7.523690916,6.639108148,7.663909446,4.998424752,5.994462278,5.448346722,6.581596311,6.746790052,7.673174897,6.237502705,5.011795886,6.543050359,7.781930159,7.731209543,6.712224445,6.175514958,7.579878693,7.664563262,8.638629637,8.066654635,6.759227545,7.636361044,9.366863402,9.063647169,7.40450471,7.649931895,9.190595465,7.114850385,6.17680338,7.392736435,5.972649747,9.725660286,7.835942445,5.649126039,7.109894303,6.295793278,7.968062814,6.721333796,8.459817551,7.514515886,9.013837418,6.472068757,7.816841818,6.21884523,7.436008136,5.649461921,6.834301281,9.130674729,7.979824372,5.320912046,6.498129115,6.926856719,7.796577005,8.357278624,7.131261109,8.794494698,6.591566506
6,7.792099589,7.014416726,8.451423608,7.514328979,8.972146343,9.552335474,8.230440328,8.983295609,8.01663982,9.336762447,7.243982675,7.877248885,5.928265851,6.93764117,6.284911853,5.395625265,6.964213452,7.731130836,4.029218907,5.065450029,6.142584879,7.181905388,9.375509,10.44727165,8.134671106,8.864942752,5.429103978,6.269533475,5.984120654,6.978871685,7.71667869,6.666769233,7.586093593,8.601978958,5.002012095,5.848027702,2.924467986,3.659769528,10.38827801,9.328511242,5.542952462,4.744701677,7.809165897,7.098738057,6.879128215,5.716179581,7.241743022,5.921340727,7.675143321,7.340139031,8.202727961,7.462010453,6.480499363,5.634898579,8.546779335,7.852916401,7.011741367,6.263590823,9.693270707,8.862807343,8.381849438,7.354071797,6.992038687,5.517175455,8.874201936,7.387442859,6.962891353,5.808319895,8.06027543,8.84468801,6.093659081,7.117256283,9.314257888,8.128946119,8.695402578,7.903544142,8.784678139,7.662752312,6.816265033,8.407148684,6.260175397,7.820888057,7.538311018,8.683271273,6.691153114,7.78500122,6.187497475,7.419504027,7.618228469,7.008557626,7.832432892,6.947848084,6.483710435,7.755719502,4.494235419,5.673956732,5.686310051,6.96316487,6.709578228,7.612685466,4.536195432,5.750137564,7.855319726,9.122185045,5.539977347,6.433696993,3.522380587,4.69720981,6.888140823,6.247344556,4.182872817,5.322760938,7.195419098,6.161419317,7.054113126,8.312303231,6.978938959,8.290378158,6.37835692,7.580031926,6.51489409,7.764358119,6.222328342,7.315575849,6.227524869,7.508091968,6.735786962,7.823043206,5.150963502,6.082552918,5.442054208,6.512989022,6.814837122,7.659723363,6.185695272,4.941907526,6.438417818,7.77481331,7.756218151,6.696494979,6.203805687,7.573800961,7.748263354,8.730558344,8.107445775,6.772718287,7.556625967,9.373085831,8.989113972,7.42277044,7.659658282,9.225826846,7.225130172,6.17462428,7.323909475,5.835807571,9.499255234,7.753054237,5.707058261,7.182727128,6.231120926,7.911908998,6.695744619,8.328035062,7.527961344,8.992491312,6.601498769,7.912243993,5.994268095,7.285298964,5.554377103,6.752520863,8.916051256,7.744199442,5.139986381,6.383790723,6.86611251,7.757071741,8.328103866,7.074323855,8.858898916,6.700911654
9,7.958760205,7.109028063,8.46427138,7.524221156,9.013169476,9.689755518,8.35821853,9.131349517,7.893733781,8.925530348,7.283880079,7.963622605,5.962455367,7.017764673,6.445211866,5.594135948,6.945876043,7.705463322,4.121906598,5.184781191,6.238726873,7.339421367,9.50190323,10.55708378,8.032574307,9.005426475,5.557843557,6.419432997,6.046590444,6.963176359,7.616662392,6.548581831,7.511169949,8.468617951,5.114612791,5.832099108,2.962955956,3.637597559,10.4022438,9.353445782,5.585707565,4.826409949,7.693769492,7.006205606,6.687141841,5.540681637,7.25024372,6.090489718,7.749046716,7.099797814,8.184547941,7.376426913,6.453719703,5.571305951,8.624635065,7.813811682,7.057590311,6.258075183,9.599334612,8.711243884,8.401223006,7.393917027,7.16361822,5.575703812,8.615322455,7.328057382,6.798205204,5.590034705,8.084200703,8.847770623,6.047563228,7.177533629,9.145832384,8.116596639,8.883383364,7.908417351,8.787001821,7.708064997,6.909246341,8.411439651,6.18993651,7.701140175,7.53599854,8.648352502,6.659234566,7.743624474,6.299463628,7.473920524,7.76654492,7.0730685,7.656980932,6.606271263,6.576934848,7.828554017,4.461641514,5.668918151,5.749614422,6.924228188,6.75595145,7.74961141,4.674972513,5.943551127,7.866498141,9.156910232,5.575432988,6.502915346,3.551805879,4.824836578,6.938360685,6.270326945,4.178599287,5.473264474,7.110402591,6.112060864,7.083308902,8.466108669,6.950662199,8.309991637,6.191168953,7.523283392,6.452947389,7.640406926,6.151853135,7.369827203,6.030409688,7.420239686,6.785479276,7.928942552,5.14348763,6.086189284,5.377102287,6.439302447,6.793967471,7.681671953,6.083700354,4.917790154,6.239773153,7.656406076,7.76122136,6.697417487,6.265988589,7.653687477,7.736843413,8.746608543,8.159298989,6.83691173,7.583251018,9.318489684,8.990505714,7.472935501,7.655036839,9.30443534,7.260210741,6.24781922,7.21833672,5.63926591,9.40683932,7.750653714,5.759404223,7.203557177,6.205557026,7.879023607,6.75862597,8.43043783,7.56368594,9.009606928,6.70535137,8.198069041,6.014974397,7.251172388,5.493673179,6.641516995,9.046184278,7.896168818,4.962348335,6.320246593,6.808273937,7.668662986,8.254532634,6.975086093,8.875063098,6.840769328
12,8.052098919,7.224784703,8.403672055,7.451668337,9.129919003,9.775948138,8.48783989,9.29079566,7.82787436,8.686180749,7.359447873,8.036879556,6.025772979,7.067441475,6.408359931,5.595304192,6.947241539,7.632674826,4.203629979,5.234625106,6.361758012,7.479816308,9.59996276,10.63469492,7.946357782,8.974533358,5.802760119,6.518573233,6.038527635,6.841921148,7.52754369,6.390963621,7.510883437,8.45501372,5.145835695,5.860269362,3.089391526,3.772949642,10.34430244,9.305798622,5.617750884,4.762294615,7.650165227,6.942064318,6.57229374,5.41163284,7.373096025,6.238728877,7.631411468,6.929655691,8.132491931,7.239734387,6.337886477,5.49963317,8.584962726,7.768255531,7.317538179,6.541712314,9.73345283,8.815162903,8.545688328,7.484914495,7.297081608,5.650023451,8.409956778,7.23931005,6.638994653,5.409318811,8.108726287,8.830059796,6.062435979,7.161301348,9.055078409,8.07299777,8.96420108,8.155364431,8.693453284,7.632475942,6.931019045,8.41,6.089215795,7.55717209,7.504508312,8.665208595,6.597369552,7.729713384,6.369252389,7.566348194,7.664516945,6.866490224,7.615892856,6.501357166,6.642401147,7.821401729,4.42323072,5.665533779,5.784823247,6.943657898,6.768858693,7.769326419,4.803018322,6.176559317,7.888870642,9.228036465,5.626627587,6.53745348,3.566821835,4.917393314,6.968176591,6.252947225,4.226877453,5.624715904,7.046314001,6.040749043,6.978898624,8.418429842,6.940290052,8.269896311,6.129330306,7.558972417,6.338505818,7.628268808,6.158365449,7.350616029,5.957389109,7.216317759,6.840015205,7.972629805,5.278073986,6.162688456,5.138177595,6.352326346,6.783592116,7.739322968,6.077142503,4.859539999,6.29481628,7.656443691,7.609439401,6.570931289,6.30878665,7.689189879,7.76277225,8.801616783,8.145297109,6.853618314,7.59878635,9.191768709,9.234317787,7.456887353,7.734417237,9.342095375,7.335292496,6.176641482,7.206659767,5.557224577,9.360684697,7.738950639,5.804360861,7.2292335,6.19455406,7.807208272,6.78095716,8.59661445,7.536183981,8.970251724,6.78420666,8.34793729,6.025,7.317214292,5.500034273,6.628662384,9.002686321,7.872220017,4.847814456,6.24992872,6.779318255,7.656659585,8.197914369,6.863030599,8.774082117,6.813488093
15,8.234299545,7.321578587,8.457851323,7.436182152,9.110446367,9.867571231,8.551171908,9.406776759,7.719111931,8.507556288,7.492244323,8.141582463,6.051535095,7.058531363,6.467804883,5.585284684,6.945557501,7.5677348,4.321000463,5.316504961,6.437412912,7.460082104,9.628015631,10.72124177,7.820253001,8.912614712,5.838750894,6.722249698,5.994846203,6.850190143,7.38266246,6.233576341,7.405041593,8.37465247,5.11037572,5.938919262,3.073609604,3.784057346,10.3359925,9.265026767,5.461896557,4.612128793,7.659305452,6.906904516,6.470367223,5.323730459,7.415133175,6.368617825,7.566102365,6.898546224,7.986614114,7.117250663,6.249112657,5.340236886,8.553068455,7.784439928,7.465252842,6.687456916,9.804674191,8.886088735,8.836385007,7.798909219,7.342955536,5.691285004,8.246040565,7.114750382,6.460882061,5.253726772,8.065869079,8.792752584,6.09030771,7.152470063,9.04182089,8.100152653,9.047822556,8.213751518,8.37622785,7.474150186,6.978450043,8.416037132,6.011542231,7.451696317,7.510297597,8.642864398,6.55028007,7.693507523,6.33532588,7.599708547,7.85166441,6.931411184,7.591271369,6.533536638,6.673576028,7.806382645,4.383595898,5.668483483,5.718204788,6.977444375,6.815514801,7.797895614,4.910263944,6.315795595,7.85448286,9.190779347,5.519607232,6.51683796,3.379491826,4.756771279,6.950060503,6.335239932,3.937256024,5.501814973,7.007920376,6.010494988,7.035787447,8.52354228,6.927780669,8.299853493,6.054055831,7.511937433,6.313769872,7.603601778,5.931663679,7.340892861,5.792085721,7.057525912,6.93930119,8.04540925,5.412136454,6.251781986,4.978000904,6.281853548,6.72820132,7.754174747,6.059277267,4.828440846,6.194326436,7.549979205,7.617966986,6.516002225,6.463507562,7.819816494,7.804947726,8.824878979,8.152895559,6.810775727,7.616438275,9.153193814,9.255798885,7.474454763,7.709172848,9.351914563,7.418696449,6.199099047,7.176713245,5.444532854,9.451145169,7.734784418,5.832217417,7.231255769,6.238496774,7.751922729,6.78013289,8.735160788,7.647818839,8.973807275,6.930924974,8.34179573,5.998200397,7.293890937,5.476752687,6.640628058,9.024188218,7.974757426,4.814299534,6.109903518,6.773933864,7.666598007,8.140061241,6.787350367,8.678625928,6.828254902
18,8.423856243,7.425760567,8.407772892,7.36291369,9.012701981,9.810663637,8.579617066,9.450500992,7.56416195,8.333145865,7.466446879,8.190549188,6.126943936,7.133313956,6.52347645,5.787959917,6.941073764,7.594010337,4.481044186,5.455118789,6.562908578,7.47109162,9.673695984,10.77510176,7.852931809,8.855090796,5.935071524,6.810766183,5.919951436,6.735393455,7.299608551,6.038884831,7.334344211,8.307663089,5.061196104,6.097044284,2.970466798,3.699433605,10.36763797,9.268013002,5.37764865,4.36570464,7.576927939,6.809134159,6.38727117,5.231378595,7.425942701,6.453378727,7.43537874,6.763179799,7.824649321,6.941883678,6.205265909,5.218705203,8.513638059,7.774009583,7.599442414,6.7502137,9.696630807,8.847059003,8.942560819,7.889053809,7.427510215,5.772935908,8.019800746,6.817428401,6.336575179,5.126231559,8.023152809,8.735601925,6.225307864,7.202574887,8.942334203,8.018494248,9.12620014,8.246591175,8.145458121,7.334209433,7.071159735,8.464001477,5.924834259,7.359828259,7.535925292,8.679412999,6.44483871,7.700132077,6.2575166,7.626637136,7.928523948,6.898090315,7.606980478,6.42957448,6.701044172,7.844909241,4.359852864,5.61348822,5.727373656,7.018957259,6.885878448,7.870957756,4.958850068,6.347858852,7.839408779,9.183946428,5.785936484,6.777990041,3.305998941,4.739312714,7.021558232,6.31612302,3.838500749,5.483036111,7.004810133,6.012230368,7.049607365,8.416213222,6.911294524,8.261334335,5.959176201,7.558323161,6.211624989,7.516190059,5.829264876,7.313823077,5.689153276,6.894452843,6.939842073,8.140243792,5.514560454,6.404993677,4.940012652,6.284581927,6.669150771,7.797623035,6.042218219,4.814087349,6.027997097,7.445933252,7.610011958,6.525360143,6.496654678,7.883942415,7.800190062,8.871415332,8.117475716,6.789080203,7.658349692,9.114385827,9.386806273,7.434018631,7.75128957,9.382108612,7.445362919,6.210962083,7.094846017,5.363962901,9.422486137,7.692234526,5.845412988,7.227128406,6.224661999,7.693827461,6.735981146,8.654917735,7.687044946,9.022756674,6.992367053,8.374651097,5.989529698,7.271000619,5.446415702,6.553731838,8.96827659,7.913083407,4.815441517,6.013332271,6.716630182,7.65147855,8.049754841,6.647748867,8.570067269,6.786207262
21,8.489294199,7.44768219,8.43692278,7.394615947,8.993448338,9.789681966,8.621820225,9.544009902,6.977381242,7.87461034,7.551607114,8.29712878,6.150972931,7.180320884,6.570054262,5.855472142,6.923008667,7.561052903,4.57331827,5.530725178,6.53632129,7.295013434,9.695465383,10.76106249,8.044450572,8.851401019,5.975702971,6.776600918,5.841573761,6.695781508,7.267470605,5.940829908,7.310955204,8.318851483,4.875577094,6.256742363,3.001514451,3.782912238,10.3790753,9.25647071,5.252869787,4.20824726,7.531450392,6.704818864,6.337227943,5.168873378,7.461284407,6.514981888,7.325804393,6.644120183,7.619854198,6.714705131,6.090400397,5.051539963,8.526385518,7.798278015,7.698279873,6.8598258,9.726476289,8.884390412,8.830028596,7.875762376,7.211325121,5.754014685,7.778581105,6.532195726,6.184505316,5.006046344,7.977452852,8.731800387,6.249461577,7.095834905,8.890693617,7.968724867,9.236114822,8.360246228,8.011628174,7.233523346,7.108284885,8.46924182,5.869738325,7.316074494,7.487232867,8.724425998,6.362032773,7.494345402,6.159909171,7.603534441,7.813622527,6.71642591,7.875545061,6.524075797,6.747756442,7.930400305,4.357192215,5.564982031,5.711206177,7.004817913,6.915844489,7.924826938,5.048710429,6.310482787,7.865576775,9.209429081,5.778822458,6.819482458,3.173696898,4.662662973,7.042403354,6.359738359,3.940006218,5.500772673,6.98767608,5.965383558,7.110335716,8.441908907,6.801032422,8.206905202,5.930392398,7.691678945,6.120625131,7.443189169,5.723887228,7.290617532,5.558315212,6.7657766,7.037624173,8.187699616,5.635595798,6.50598071,4.935219651,6.354520438,6.630117721,7.815917157,6.020693399,4.917302208,5.943848669,7.344895915,7.565341037,6.424662248,6.692295869,8.013014726,7.840543986,8.895214444,8.186425166,6.768091016,7.621655791,9.035986056,9.277056268,7.433803939,7.806480705,9.442630989,7.559473857,6.291160306,7.009347545,5.215115818,9.361980346,7.593641814,5.87640196,7.21124379,6.264334123,7.638886372,6.780814184,8.475826626,7.610069645,8.971031156,7.062372689,8.394570865,5.984080965,7.295255033,5.421426473,6.593984001,8.819124049,7.829303481,4.764845433,5.982653759,6.755612852,7.605057922,7.956102815,6.568244362,8.549876081,6.76735288
24,8.737784616,7.640323619,8.428902657,7.353778145,8.929640586,9.764592413,8.728117781,9.645935154,6.824481372,7.787386789,7.608046596,8.349762392,6.241774507,7.243942021,6.656848278,5.910539485,6.950578681,7.563556042,4.710800038,5.652611786,6.529819599,7.149109665,9.800174947,10.88570751,8.25453118,8.908401259,6.031899369,6.771693215,5.996705762,6.761662296,7.15770445,5.792119647,7.402862487,8.433340026,4.721539791,6.377282572,2.91626422,3.652813299,10.3834892,9.281773106,5.159591457,4.047068692,7.436090371,6.609463518,6.32889074,5.228164114,7.501153578,6.531573241,7.250470674,6.607159829,7.445193147,6.520069708,6.07382787,5.00230237,8.549886549,7.789834209,7.83958277,7.019360156,9.717835407,8.890938589,8.846675364,7.918061947,6.961211676,5.790683984,7.58252214,6.34099929,6.099557771,4.888892104,7.846354185,8.666285075,6.350624851,7.095731181,8.79180755,7.877238666,9.263710704,8.427867405,7.867793719,7.103841355,7.075401119,8.463850719,5.792270712,7.231810631,7.35016578,8.734031143,6.360428681,7.538833464,6.029249373,7.590208759,7.488792493,6.442770289,8.122384194,6.729398487,6.660823523,7.900607065,4.491545836,5.61301933,5.695052239,7.036045054,6.924643095,7.881320004,5.093765798,6.454885979,7.809968118,9.145632018,5.833446408,6.871654968,3.176472414,4.541656636,7.026875621,6.315268245,4.105631377,5.608982885,6.964154866,5.932369004,7.139816944,8.467433436,6.90762166,8.209501386,5.981084601,7.822956538,6.039690058,7.435403486,5.666675657,7.167268169,5.439360624,6.652759202,7.060143412,8.172167889,5.709840628,6.630409414,4.780328022,6.266279359,6.525731377,7.837103547,6.05735297,4.985743275,5.852733549,7.29705098,7.55252236,6.452591727,6.563710079,7.870082909,7.853622667,8.935004868,8.144475735,6.810691008,7.663872455,9.025877686,9.347792253,7.439682789,7.853603058,9.443010643,7.672549837,6.443613427,6.95155702,5.148352164,9.378782224,7.474170255,5.876825759,7.255712577,6.303162698,7.634087568,6.79656987,8.314212711,7.526189541,8.917589921,7.058357103,8.408909144,5.953704225,7.259015498,5.364112788,6.597879811,8.751314073,7.793834294,4.819951141,5.982974845,6.607745833,7.57990211,7.962338476,6.512208995,8.484766821,6.691121356
27,8.821913681,7.695074009,8.411737751,7.310745311,8.789005518,9.724516749,8.814483365,9.722983287,6.600912058,7.581446366,7.654508018,8.373036785,6.261268961,7.240455856,6.800724226,5.908164605,6.856638608,7.485334595,4.861516841,5.780670636,6.454106987,7.136701269,9.964611884,10.95069623,8.426777557,9.069544917,5.994158573,6.665716541,5.970575852,6.830932952,7.115181797,5.768419021,7.478754041,8.527436309,4.649941935,6.44917359,2.823311,3.507173363,10.35027657,9.294569651,5.077806022,3.927246491,7.405768157,6.485879586,6.357441388,5.368599538,7.613503399,6.650053383,7.103185905,6.471011127,7.323973921,6.425929972,6.006649981,4.983999699,8.452586882,7.810383409,7.886304141,7.066468708,9.847301001,9.012651663,8.808211226,7.897349682,6.796442084,5.791511806,7.50178872,6.220048312,6.046834875,4.865273065,7.730211123,8.630667761,6.431957867,7.180537932,8.796295243,7.824899808,9.43125718,8.391246928,7.835060753,7.058387918,7.062979824,8.480237556,5.743801006,7.216071092,7.293649635,8.742670073,6.435719152,7.400351478,5.904431217,7.394981271,7.116607689,6.306518057,8.182617246,6.921402459,6.619680053,7.849152948,4.700007021,5.672642858,5.645965019,6.934119266,6.898092852,7.845350534,5.117840951,6.423792416,7.77105617,9.06346799,5.869056568,6.887532287,3.104246285,4.481136017,6.989790626,6.373280552,4.25104987,5.711960259,6.882259585,5.820633385,7.117724145,8.418914063,6.893141519,8.212545342,6.090394568,7.878939586,5.982509256,7.311980375,5.518325289,7.121805459,5.328037537,6.523484498,7.106096326,8.157270377,5.843014376,6.821492066,4.784376239,6.303761179,6.452175525,7.845231482,6.088763832,5.046681781,5.683095811,7.174810381,7.493318958,6.487795697,6.666127212,7.992326632,7.910544861,9.017208992,8.184330028,6.843075624,7.667920513,9.034017932,9.394624953,7.372529078,7.873851218,9.468557282,7.91238428,6.564691158,6.940517344,5.164208555,9.219459854,7.331152706,5.837705885,7.240381274,6.343469161,7.615240114,6.714948697,8.212862169,7.477428502,8.900561106,7.11194692,8.497367416,5.994007424,7.232070796,5.318708584,6.589080816,8.700332465,7.772252312,4.888280884,5.989257884,6.577559198,7.548385589,7.993,6.478668768,8.414970469,6.676542369
